00:22:72|american micro-fuel device corp.
ac:ee:9e|samsung electronics co.,ltd
b8:57:d8|samsung electronics co.,ltd
70:bf:3e|charles river laboratories
a8:c8:7f|roqos, inc.
3c:83:1e|ckd corporation
90:df:fb|homerider systems
30:5a:3a|asustek computer inc.
2c:08:1c|ovh
c0:84:88|finis inc
38:f5:57|jolata, inc.
54:a3:fa|bqt solutions (australia)pty ltd
24:6c:8a|yukai engineering
ac:c5:1b|zhuhai pantum electronics co., ltd.
38:5f:66|cisco spvtg
b8:44:d9|apple, inc.
9c:7a:03|ciena corporation
5c:cf:7f|espressif inc.
68:12:95|lupine lighting systems gmbh
70:11:ae|music life ltd
04:1e:7a|dspworks
84:a7:88|perples
ac:60:b6|ericsson ab
14:b3:70|gigaset digital technology (shenzhen) co., ltd.
68:89:c1|huawei technologies co.,ltd
1c:49:7b|gemtek technology co., ltd.
2c:cf:58|huawei technologies co.,ltd
d0:93:80|ducere technologies pvt. ltd.
68:f9:56|objetivos y servicio de valor añadido
c8:a9:fc|goyoo networks inc.
fc:fe:c2|invensys controls uk limited
68:9a:b7|atelier vision corporation
44:4c:a8|arista networks
7c:2b:e1|shenzhen ferex electrical co.,ltd
50:31:ad|abb global industries and services private limited
14:3e:bf|zte corporation
fc:2f:ef|utt technologies co., ltd.
a4:c1:38|telink semiconductor (taipei) co. ltd.
20:f5:10|codex digital limited
a8:74:1d|phoenix contact electronics gmbh
f0:9a:51|shanghai viroyal electronic technology company limited
4c:b8:2c|cambridge mobile telematics, inc.
e4:a3:2f|shanghai artimen technology co., ltd.
f4:67:2d|shenzhen topstar technology company
a8:d8:28|ascensia diabetes care
b8:69:c2|sunitec enterprise co., ltd.
88:cb:a5|suzhou torchstar intelligent technology co.,ltd
7c:a2:3e|huawei technologies co.,ltd
50:1a:a5|gn netcom a/s
a4:8d:3b|vizio, inc
1c:56:fe|motorola mobility llc, a lenovo company
b8:99:b0|cohere technologies
d8:5d:ef|busch-jaeger elektro gmbh
88:a2:d7|huawei technologies co.,ltd
00:32:3a|so-logic
80:9f:ab|fiberhome telecommunication technologies co.,ltd
e0:03:70|shenzhen continental wireless technology co., ltd.
04:61:69|media global links co., ltd.
bc:eb:5f|fujian beifeng telecom technology co., ltd.
ac:5a:14|samsung electronics co.,ltd
f0:ab:54|mitsumi electric co.,ltd.
3c:31:78|qolsys inc.
08:ec:a9|samsung electronics co.,ltd
e0:4b:45|hi-p electronics pte ltd
f4:6a:92|shenzhen fast technologies co.,ltd
f0:d6:57|echosens
9c:37:f4|huawei technologies co.,ltd
3c:47:11|huawei technologies co.,ltd
5c:eb:68|cheerstar technology co., ltd
ac:56:2c|lava international(h.k) limited
fc:9a:fa|motus global inc.
14:15:7c|tokyo cosmos electric co.,ltd.
20:e4:07|spark srl
d0:9d:ab|tct mobile ltd
88:73:84|toshiba
24:69:3e|innodisk corporation
c0:dc:6a|qingdao eastsoft communication technology co.,ltd
24:b0:a9|shanghai mobiletek communication ltd.
1c:c5:86|absolute acoustics
40:7f:e0|glory star technics (shenzhen) limited
c8:e1:30|milkyway group ltd
48:6e:fb|davit system technology co., ltd.
b0:96:6c|lanbowan technology ltd.
1c:f0:3e|wearhaus inc.
88:3b:8b|cheering connection co. ltd.
e4:f9:39|minxon hotel technology inc.
14:6b:72|shenzhen fortune ship technology co., ltd.
b8:f0:80|sps, inc.
80:50:67|w & d technology corporation
78:f9:44|private
24:76:56|shanghai net miles fiber optics technology co., ltd.
f8:cf:c5|motorola mobility llc, a lenovo company
a4:7b:85|ultimedia co ltd,
5c:5b:35|mist systems, inc.
ec:ba:fe|giroptic
3c:2c:94|杭州德澜科技有限公司（hangzhou delan technology co.,ltd）
24:1b:44|hangzhou tuners electronics co., ltd
80:a8:5d|osterhout design group
ac:ca:ab|virtual electric inc
48:54:15|net rules tecnologia eireli
78:40:e4|samsung electronics co.,ltd
e0:99:71|samsung electronics co.,ltd
70:da:9c|tecsen
2c:a2:b4|fortify technologies, llc
10:d3:8a|samsung electronics co.,ltd
e4:85:01|geberit international ag
20:62:74|microsoft corporation
e8:16:2b|ideo security co., ltd.
b4:73:56|hangzhou treebear networking co., ltd.
34:68:95|hon hai precision ind. co.,ltd.
84:73:03|letv mobile and intelligent information technology (beijing) corporation ltd.
3c:c2:e1|xinhua control engineering co.,ltd
8c:87:3b|leica camera ag
44:f4:77|juniper networks
14:29:71|nemoa electronics (hk) co. ltd
78:e9:80|rainus co.,ltd
e0:ff:f7|softiron inc.
3c:6a:9d|dexatek technology ltd.
34:9e:34|evervictory electronic co.ltd
70:0f:c7|shenzhen ikinloop technology co.,ltd.
bc:74:d7|hangzhou juru technology co.,ltd
78:eb:14|shenzhen fast technologies co.,ltd
3c:49:37|assmann electronic gmbh
84:44:64|serveru inc
00:35:60|rosen aviation
f8:bc:41|rosslare enterprises limited
3c:b7:92|hitachi maxell, ltd., optronics division
f8:b2:f3|guangzhou bosma technology co.,ltd
28:d9:8a|hangzhou konke technology co.,ltd.
d8:93:41|general electric global research
1c:9e:cb|beijing nari smartchip microelectronics company limited
d4:8d:d9|meld technology, inc
dc:c6:22|buheung system
90:2c:c7|c-max asia limited
88:70:ef|sc professional trading co., ltd.
94:c0:38|tallac networks
68:36:b5|drivescale, inc.
c4:08:80|shenzhen utepo tech co., ltd.
d8:80:39|microchip technology inc.
5c:96:6a|rtnet
bc:bc:46|sks welding systems gmbh
98:16:ec|ic intracom
d0:62:a0|china essence technology (zhumadian) co., ltd.
90:17:9b|nanomegas
14:f8:93|wuhan fiberhome digital technology co.,ltd.
58:21:36|kmb systems, s.r.o.
80:09:02|keysight technologies, inc.
04:99:e6|shenzhen yoostar technology co., ltd
70:ff:5c|cheerzing communication(xiamen)technology co.,ltd
4c:48:da|beijing autelan technology co.,ltd
20:5c:fa|yangzhou changlian network technology co,ltd.
84:93:0c|incoax networks europe ab
1c:a2:b1|ruwido austria gmbh
38:4b:76|airtame aps
38:b1:db|hon hai precision ind. co.,ltd.
34:f6:d2|panasonic taiwan co.,ltd.
64:00:2d|powerlinq co., ltd
b4:7c:29|shenzhen guzidi technology co.,ltd
d4:8f:33|microsoft corporation
54:f8:76|abb ag
34:b7:fd|guangzhou younghead electronic technology co.,ltd
b4:17:80|dti group ltd
48:9d:18|flashbay limited
90:20:3a|byd precision manufacture co.,ltd
80:ea:ca|dialog semiconductor hellas sa
20:a9:9b|microsoft corporation
60:48:26|newbridge technologies int. ltd.
38:f3:3f|tatsuno corporation
d8:0c:cf|c.g.v. s.a.s.
4c:bb:58|chicony electronics co., ltd.
a4:12:42|nec platforms, ltd.
d0:0a:ab|yokogawa digital computer corporation
c4:00:06|lipi data systems ltd.
38:26:2b|utran technology
48:0c:49|nakayo inc
3c:d9:ce|eclipse wifi
60:77:e2|samsung electronics co.,ltd
fc:19:10|samsung electronics co.,ltd
fc:79:0b|hitachi high technologies america, inc.
60:81:f9|helium systems, inc
84:01:a7|greyware automation products, inc
98:f1:70|murata manufacturing co., ltd.
68:6e:48|prophet electronic technology corp.,ltd
04:c9:91|phistek inc.
3c:a1:0d|samsung electronics co.,ltd
64:6c:b2|samsung electronics co.,ltd
68:05:71|samsung electronics co.,ltd
14:b4:84|samsung electronics co.,ltd
f4:c4:47|coagent international enterprise limited
c8:e4:2f|technical research design and development
c4:c9:ec|gugaoo   hk limited
34:e4:2a|automatic bar controls inc.
30:59:b7|microsoft
20:a7:87|bointec taiwan corporation limited
a0:fc:6e|telegrafia a.s.
20:53:ca|risk technology ltd
a4:3d:78|guangdong oppo mobile telecommunications corp.,ltd
04:57:2f|sertel electronics uk ltd
d8:97:7c|grey innovation
bc:8d:0e|nokia
a4:9f:85|lyve minds, inc
78:92:3e|nokia corporation
ac:a9:a0|audioengine, ltd.
a4:81:ee|nokia corporation
78:d6:6f|aristocrat technologies australia pty. ltd.
44:1e:91|arvida intelligent electronics technology  co.,ltd.
c4:62:6b|zpt vigantice
ec:17:66|research centre module
a0:d1:2a|axpro technology inc.
20:9a:e9|volacomm co., ltd
34:5d:10|wytek
6c:14:f7|erhardt+leimer gmbh
b0:d5:9d|shenzhen zowee technology co., ltd
68:28:ba|dejai
b0:57:06|vallox oy
48:ee:07|silver palm technologies llc
50:c7:bf|tp-link technologies co.,ltd.
20:5a:00|coval
a8:a6:68|zte corporation
00:ee:bd|htc corporation
38:f7:08|national resource management, inc.
e0:db:88|open standard digital-if interface for satcom systems
a8:24:eb|zao npo introtest
c4:0e:45|ack networks,inc.
3c:89:a6|kapelse
a4:6c:c1|lti reenergy gmbh
a8:b9:b3|essys
6c:09:d6|digiquest electronics ltd
48:18:42|shanghai winaas co. equipment co. ltd.
44:70:98|ming hong technology (shen zhen) limited
9c:bd:9d|skydisk, inc.
74:c6:21|zhejiang hite renewable energy co.,ltd
d4:31:9d|sinwatec
b0:68:b6|hangzhou oye technology co. ltd
9c:65:f9|acsip technology corp.
48:76:04|private
2c:53:4a|shenzhen winyao electronic limited
a4:bb:af|lime instruments
f4:90:ca|tensorcom
e4:4c:6c|shenzhen guo wei electronic co,. ltd.
a8:57:4e|tp-link technologies co.,ltd.
b8:43:e4|vlatacom
28:22:46|beijing sinoix communication co., ltd
48:b9:77|pulseon oy
70:71:b3|brain corporation
64:e6:25|woxu wireless co., ltd
10:b7:13|private
10:0e:7e|juniper networks
20:89:86|zte corporation
44:c5:6f|ngn easy satfinder (tianjin) electronic co., ltd
b8:98:f7|gionee communication equipment co,ltd.shenzhen
84:83:36|newrun
18:20:12|aztech associates inc.
b8:26:6c|anov france
3c:30:0c|dewar electronics pty ltd
98:ff:d0|lenovo mobile communication technology ltd.
a8:75:e2|aventura technologies, inc.
b8:7a:c9|siemens ltd.
f0:61:30|advantage pharmacy services, llc
6c:3c:53|soundhawk corp
08:40:27|gridstore inc.
38:bf:2f|espec corp.
44:c4:a9|opticom communication, llc
c4:82:4e|changzhou uchip electronics co., ltd.
a4:77:60|nokia corporation
c8:56:63|sunflex europe gmbh
88:fe:d6|shanghai wangyong software co., ltd.
7c:72:e4|unikey technologies
7c:20:48|koamtac
8c:b7:f7|shenzhen unistrong science & technology co., ltd
38:b7:4d|fijowave limited
18:0c:14|isonea limited
9c:a9:e4|zte corporation
90:f3:b7|kirisun communications co., ltd.
c4:e9:2f|ab sciex
a8:8d:7b|sundroid global limited.
3c:f7:48|shenzhen linsn technology development co.,ltd
b0:79:08|cummings engineering
e4:77:23|zte corporation
1c:63:b7|openproducts 237 ab
94:b9:b4|aptos technology
6c:15:f9|nautronix limited
18:aa:45|fon technology
90:20:83|general engine management systems ltd.
14:b1:26|industrial software co
d8:50:e6|asustek computer inc.
dc:3e:f8|nokia corporation
a4:9f:89|shanghai rui rui communication technology co.ltd.
70:60:de|lavision gmbh
50:2e:5c|htc corporation
fc:fe:77|hitachi reftechno, inc.
70:53:3f|alfa instrumentos eletronicos ltda.
40:7a:80|nokia corporation
64:42:14|swisscom energy solutions ag
0c:a6:94|sunitec enterprise co.,ltd
18:44:62|riava networks, inc.
c0:35:80|a&r tech
d0:8a:55|skullcandy
34:4f:3f|io-power technology co., ltd.
14:60:80|zte corporation
9c:bb:98|shen zhen rnd electronic co.,ltd
50:c2:71|securetech inc
cc:72:0f|viscount systems inc.
74:2b:62|fujitsu limited
64:3f:5f|exablaze
8c:2f:39|iba dosimetry gmbh
c0:a0:bb|d-link international
2c:cd:69|aqavi.com
f4:5f:69|matsufu electronics distribution company
28:a1:eb|etek technology (shenzhen) co.,ltd
b8:f8:28|changshu gaoshida optoelectronic technology co. ltd.
3c:1a:57|cardiopulmonary corp
54:1b:5d|techno-innov
9c:e7:bd|winduskorea co., ltd
38:42:a6|ingenieurbuero stahlkopf
24:80:00|westcontrol as
1c:4b:b9|smg enterprise, llc
34:61:78|the boeing company
14:46:e4|avistel
d0:95:c7|pantech co., ltd.
d0:2c:45|littlebits electronics, inc.
04:4f:8b|adapteva, inc.
b4:a8:2b|histar digital electronics co., ltd.
28:4d:92|luminator
54:fb:58|wiseware, lda
94:0b:d5|himax technologies, inc
e0:d1:e6|aliph dba jawbone
d8:2d:9b|shenzhen g.credit communication technology co., ltd
70:9b:fc|bryton inc.
ac:e4:2e|sk hynix
78:fe:41|socus networks
20:57:21|salix technology co., ltd.
88:36:12|src computers, llc
08:35:71|caswell inc.
98:76:b6|adafruit
50:3c:c4|lenovo mobile communication technology ltd.
2c:7b:84|ooo petr telegin
a4:c0:c7|shenzhen hitom communication technology co..ltd
30:61:12|pav gmbh
78:9f:4c|hoerbiger elektronik gmbh
18:10:4e|cedint-upm
9c:14:65|edata elektronik san. ve tic. a.Ş.
4c:55:cc|zentri pty ltd
00:c5:db|datatech sistemas digitales avanzados sl
8c:f9:45|power automation pte ltd
f8:42:fb|yasuda joho co.,ltd.
88:73:98|k2e tekpoint
2c:92:2c|kishu giken kogyou company ltd,.
d8:fe:e3|d-link international
3c:97:7e|ips technology limited
a4:fb:8d|hangzhou dunchong technology co.ltd
f4:cd:90|vispiron rotec gmbh
80:6c:8b|kaeser kompressoren ag
04:3d:98|chongqing qingjia electronics co.,ltd
e0:3e:4a|cavanagh group international
04:1b:94|host mobility ab
a0:ce:c8|ce link limited
90:7a:28|beijing morncloud information and technology co. ltd.
10:01:ca|ashley butterworth
24:6a:ab|it-is international
fc:4b:bc|sunplus technology co., ltd.
50:a0:bf|alba fiber systems inc.
b8:36:d8|videoswitch
dc:6f:00|livescribe, inc.
54:e3:b0|jvl industri elektronik
80:4b:20|ventilation control
28:79:94|realplay digital technology(shenzhen) co.,ltd
10:7a:86|u&u engineering inc.
40:bd:9e|physio-control, inc
6c:57:79|aclima, inc.
c0:da:74|hangzhou sunyard technology co., ltd.
18:d6:cf|kurth electronic gmbh
f4:81:39|canon inc.
18:36:fc|elecsys international corporation
88:23:64|watchnet dvr inc
58:1c:bd|affinegy
28:4f:ce|liaoning wontel science and technology development co.,ltd.
04:8d:38|netcore technology inc.
2c:94:64|cincoze co., ltd.
30:65:ec|wistron (chongqing)
54:2c:ea|protectron
94:b8:c5|ruggedcom inc.
dc:82:5b|janus, spol. s r.o.
9c:a5:77|osorno enterprises inc.
c0:43:01|epec oy
e0:7c:62|whistle labs, inc.
f0:7f:0c|leopold kostal gmbh &co. kg
4c:62:55|sanmina-sci system de mexico s.a. de c.v.
08:27:19|aps systems/electronic ag
50:5a:c6|guangdong super telecom co.,ltd.
9c:79:ac|suntec software(shanghai) co., ltd.
4c:96:14|juniper networks
b8:63:bc|robotis, co, ltd
98:0d:2e|htc corporation
c4:19:ec|qualisys ab
60:4a:1c|suyin corporation
d4:64:f7|chengdu usee digital technology co., ltd
74:d0:2b|asustek computer inc.
60:1e:02|eltexalatau
e0:c6:b3|mildef ab
64:72:d8|goowi technology co.,limited
60:60:1f|sz dji technology co.,ltd
5c:84:86|brightsource industries israel ltd
50:cd:32|nanjing chaoran science & technology co.,ltd.
bc:ba:e1|arec inc.
18:fa:6f|isc applied systems corp
a0:1c:05|nimax telecom co.,ltd.
60:e0:0e|shinsei electronics co ltd
54:54:14|digital rf corea, inc
24:eb:65|saet i.s. s.r.l.
d0:f2:7f|steadyserv technoligies, llc
e8:94:f6|tp-link technologies co.,ltd.
18:84:10|coretrust inc.
fc:22:9c|han kyung i net co.,ltd.
18:32:a2|laon technology co., ltd.
d4:a4:99|inview technology corporation
08:48:2c|raycore taiwan co., ltd.
dc:2b:ca|zera gmbh
94:98:a2|shanghai listen tech.ltd
e0:ed:c7|shenzhen friendcom technology development co., ltd
b4:dd:15|controlthings oy ab
dc:1d:d4|microstep-mis spol. s r.o.
fc:dd:55|shenzhen wewins wireless co.,ltd
b0:17:43|edison global circuits llc
d0:be:2c|cnslink co., ltd.
40:51:6c|grandex international corporation
c0:88:5b|snd tech co., ltd.
3c:fb:96|emcraft systems llc
84:62:23|shenzhen coship electronics co., ltd.
1c:fa:68|tp-link technologies co.,ltd.
08:1f:3f|wondalink inc.
18:53:e0|hanyang digitech co.ltd
00:c1:4f|ddl co,.ltd.
2c:26:c5|zte corporation
10:5f:06|actiontec electronics, inc
08:79:99|aim gmbh
c0:11:a6|fort-telecom ltd.
c0:4a:00|tp-link technologies co.,ltd.
04:5f:a7|shenzhen yichen technology development co.,ltd
94:c9:62|teseq ag
dc:2a:14|shanghai longjing technology co.
68:86:e7|orbotix, inc.
c0:5e:6f|v. stonkaus firma kodinis raktas
c0:b8:b1|bitbox ltd
f8:2e:db|rtw gmbh & co. kg
80:8b:5c|shenzhen runhuicheng technology co., ltd
d8:19:ce|telesquare
e0:ce:c3|askey computer corp
38:f5:97|home2net gmbh
80:7b:1e|corsair memory, inc.
b4:ab:2c|mtm technology corporation
74:37:2f|tongfang shenzhen cloudcomputing technology co.,ltd
f0:21:9d|cal-comp electronics & communications company ltd.
18:17:25|cameo communications, inc.
84:62:a6|eurocb (phils), inc.
e4:f3:65|time-o-matic, inc.
dc:c0:db|shenzhen kaiboer technology co., ltd.
ac:5d:10|pace americas
fc:62:6e|beijing mdc telecom
84:c8:b1|incognito software systems inc.
e8:a3:64|signal path international / peachtree audio
bc:51:fe|swann communications pty ltd
88:f4:90|jetmobile pte ltd
1c:91:79|integrated system technologies ltd
a0:ba:b8|pixon imaging
74:e4:24|apiste corporation
24:11:d0|chongqing ehs science and technology development co.,ltd.
b4:61:ff|lumigon a/s
a0:a1:30|dli taiwan branch office
30:21:5b|shenzhen ostar display electronic co.,ltd
34:fa:40|guangzhou robustel technologies co., limited
1c:5a:6b|philips electronics nederland bv
a8:75:d6|freetek international co., ltd.
ec:e9:15|sti ltd
80:d7:33|qsr automations, inc.
30:3d:08|glintt tes s.a.
a8:1f:af|krypton polska
30:d3:57|logosol, inc.
bc:39:a6|csun system technology co.,ltd
ec:b5:41|shinano e and e co.ltd.
d4:10:cf|huanshun network science and technology co., ltd.
6c:b3:11|shenzhen lianrui electronics co.,ltd
10:a7:43|sk mtek limited
54:7f:a8|telco systems, s.r.o.
54:74:e6|webtech wireless
c4:6d:f1|datagravity
94:fd:2e|shanghai uniscope technologies co.,ltd
e4:c1:46|objetivos y servicios de valor a
d4:00:57|mc technologies gmbh
5c:e0:f6|nic.br- nucleo de informacao e coordenacao do ponto br
c8:3d:97|nokia corporation
0c:f3:61|java information
60:0f:77|silverplus, inc
b0:35:8d|nokia corporation
f8:e4:fb|actiontec electronics, inc
8c:4a:ee|giga tms inc
34:c9:9d|eidolon communications technology co. ltd.
ac:e6:4b|shenzhen baojia battery technology co., ltd.
78:9f:87|siemens ag i ia pp prm
08:e5:da|nanjing fujitsu computer products co.,ltd. 
58:84:e4|ip500 alliance e.v.
04:4b:ff|guangzhou hedy digital technology co., ltd
e8:71:8d|elsys equipamentos eletronicos ltda
d0:73:8e|dong oh precision co., ltd. 
64:c9:44|lark technologies, inc
0c:93:fb|bns solutions
e4:4f:5f|eds elektronik destek san.tic.ltd.sti
e8:6d:54|digit mobile inc
90:b1:1c|dell inc.
00:5d:03|xilinx, inc
80:2f:de|zurich instruments ag
5c:38:e0|shanghai super electronics technology co.,ltd
08:af:78|totus solutions, inc.
c8:c7:91|zero1.tv gmbh
ec:d9:25|rami
1c:94:92|ruag schweiz ag
b8:89:ca|iljin electric co., ltd.
64:f5:0e|kinion technology company limited
d0:4c:c1|sintrones technology corp.
50:3f:56|syncmold enterprise corp
8c:ee:c6|precepscion pty. ltd.
10:12:48|itg, inc.
18:48:d8|fastback networks
f0:d3:e7|sensometrix sa
b0:12:66|futaba-kikaku
7c:c8:d0|tianjin yaan technology co., ltd.
88:e9:17|tamaggo
88:61:5a|siano mobile silicon ltd.
70:e2:4c|sae it-systems gmbh & co. kg
00:fd:4c|nevatec
14:43:19|creative&link technology limited
d8:af:3b|hangzhou bigbright integrated communications system co.,ltd
60:32:f0|mplus technology
28:29:d9|globalbeiming technology (beijing)co. ltd
68:15:d3|zaklady elektroniki i mechaniki precyzyjnej r&g s.a.
10:f3:db|gridco systems, inc.
30:5d:38|beissbarth 
60:d2:b9|realand bio co., ltd.
30:fd:11|macrotech (usa) inc.
c4:da:26|noblex sa
7c:c8:ab|acro associates, inc.
60:19:29|voltronic power technology(shenzhen) corp.
48:b2:53|marketaxess corporation
74:94:3d|agjunction
58:cf:4b|lufkin industries
68:b4:3a|waterfurnace international, inc.
4c:78:97|arrowhead alarm products ltd
44:e8:a5|myreka technologies sdn. bhd.
d8:af:f1|panasonic appliances company
2c:62:89|regenersis (glenrothes) ltd
58:ec:e1|newport corporation
4c:09:b4|zte corporation
60:d1:aa|vishal telecommunications pvt ltd
70:9b:a5|shenzhen y&d electronics co.,ltd.
f4:54:33|rockwell automation
b4:89:10|coster t.e. s.p.a.
b0:c8:3f|jiangsu cynray iot co., ltd.
3c:f3:92|virtualtek. co. ltd
b4:82:c5|relay2, inc.
98:5e:1b|conversdigital co., ltd.
d4:8c:b5|cisco systems, inc
90:9d:e0|newland design + assoc. inc.
14:9f:e8|lenovo mobile communication technology ltd.
bc:d9:40|asr co,.ltd.
04:9c:62|bmt medical technology s.r.o.
0c:2a:69|electric imp, incorporated
c4:55:c2|bach-simpson
00:e8:ab|meggitt training systems, inc.
b4:21:8a|dog hunter llc
b4:a4:b5|zen eye co.,ltd
dc:37:d2|hunan hkt electronic technology co., ltd
40:70:74|life technology (china) co., ltd
20:f0:02|mtdata developments pty. ltd.
38:8a:b7|itc networks
bc:c2:3a|thomson video networks
1c:f4:ca|private
ac:c2:ec|clt int'l ind. corp.
a8:65:b2|dongguan yishang electronic technology co., limited
e8:d0:fa|mks instruments deutschland gmbh
98:26:2a|applied research associates, inc
3c:91:74|along communication technology
ac:ee:3b|6harmonics inc
1c:6b:ca|mitsunami co., ltd.
64:24:00|xorcom ltd.
e8:3e:fb|geodesic ltd.
ec:d1:9a|zhuhai liming industries co., ltd
34:81:37|unicard sa
38:b1:2d|sonotronic nagel gmbh
54:9d:85|eneraccess inc
b0:75:0c|qa cafe
b4:e1:eb|private
3c:36:3d|nokia corporation
80:86:98|netronics technologies inc.
9c:e1:0e|nctech ltd
a0:6d:09|intelcan technosystems inc.
60:f3:da|logic way gmbh
fc:50:90|simex sp. z o.o.
60:b9:82|ro.ve.r. laboratories s.p.a.
b4:62:38|exablox
c8:bb:d3|embrane
8c:60:4f|cisco systems, inc
a4:b9:80|parking boxx inc.
a4:7c:14|chargestorm ab
80:20:af|trade fides, a.s.
2c:75:0f|shanghai dongzhou-lawton communication technology co. ltd.
5c:50:15|cisco systems, inc
98:02:84|theobroma systems gmbh
1c:d4:0c|kriwan industrie-elektronik gmbh
00:2d:76|titech gmbh
f8:db:4c|pny technologies, inc.
0c:9d:56|consort controls ltd
3c:b8:7a|private
ac:14:61|ataw  co., ltd.
e4:c6:e6|mophie, llc
50:2d:1d|nokia corporation
f4:8e:09|nokia corporation
58:48:c0|coflec
8c:57:fd|lvx western
54:e6:3f|shenzhen lingkeweier technology co., ltd.
20:fa:bb|cambridge executive limited
14:1a:51|treetech sistemas digitais
58:7f:c8|s2m
20:05:05|radmax communication private limited
c0:35:bd|velocytech aps
28:71:84|spire payments
7c:b0:3e|osram gmbh
3c:9f:81|shenzhen catic bit communications technology co.,ltd
44:5f:7a|shihlin electric & engineering corp.
44:13:19|wkk technology ltd.
18:b5:91|i-storm
bc:8b:55|npp eliks america inc. dba t&m atlantic
c0:49:3d|maitrise technologique
c8:45:44|asia pacific cis (wuxi) co, ltd
e0:ef:25|lintes technology co., ltd.
50:ed:94|egatel sl
48:a2:2d|shenzhen huaxuchang telecom technology co.,ltd
c8:60:00|asustek computer inc.
ac:0d:fe|ekon gmbh - mygekko
fc:5b:26|mikrobits
40:f4:07|nintendo co., ltd.
b0:1c:91|elim co
04:f1:7d|tarana wireless
84:49:15|varmour networks, inc.
2c:be:97|ingenieurbuero bickele und buehler gmbh
70:a6:6a|prox dynamics as
dc:3e:51|solberg & andersen as
90:0a:3a|psg plastic service gmbh
28:cd:1c|espotel oy
d4:43:a8|changzhou haojie electric co., ltd.
bc:e5:9f|waterworld technology co.,ltd
70:41:b7|edwards lifesciences llc
dc:a8:cf|new spin golf, llc.
a8:49:a5|lisantech co., ltd.
a0:5e:6b|melper co., ltd.
d8:78:e5|kuhn sa
d8:24:bd|cisco systems, inc
34:97:fb|advanced rf technologies inc
f0:3a:55|omega elektronik as
98:bc:57|sva technologies co.ltd
dc:3c:2e|manufacturing system insights, inc.
f8:35:53|magenta research ltd.
f4:04:4c|valencetech limited
c4:67:b5|libratone a/s
4c:39:10|newtek electronics co., ltd.
90:3a:a0|nokia
b0:6c:bf|3ality digital systems gmbh
54:d0:ed|axim communications
84:36:11|hyungseul publishing networks
34:40:b5|ibm
d4:d7:48|cisco systems, inc
34:4f:69|ekinops sas
f8:31:3e|endeavour gmbh
14:36:05|nokia corporation
c8:1a:fe|dlogic gmbh
ec:63:e5|epboard design llc
94:db:49|sitcorp
f0:62:0d|shenzhen egreat tech corp.,ltd
2c:67:fb|shenzhen zhengjili electronics co., ltd
3c:e5:b4|kidasen industria e comercio de antenas ltda
08:d0:9f|cisco systems, inc
64:4b:f0|caldigit, inc
64:ed:62|woori systems co., ltd
2c:00:2c|unowhy
5c:c9:d3|palladium energy eletronica da amazonia ltda
c8:7c:bc|valink co., ltd. 
b8:14:13|keen high holding(hk) ltd.
b4:94:4e|wetelecom co., ltd.
e0:0b:28|inovonics
48:02:2a|b-link electronic limited
18:e8:0f|viking electronics inc.
cc:6b:f1|sound masking inc.
2c:97:17|i.c.y. b.v.
2c:3f:38|cisco systems, inc
40:50:e0|milton security group llc
70:ca:9b|cisco systems, inc
a0:78:ba|pantech co., ltd.
68:bc:0c|cisco systems, inc
34:5b:11|evi heat ab
78:ba:d0|shinybow technology co. ltd.
24:e6:ba|jsc zavod im. kozitsky
cc:a3:74|guangdong guanglian electronic technology co.ltd
58:67:7f|clare controls inc.
0c:5a:19|axtion sdn bhd
a8:bd:1a|honey bee (hong kong) limited
24:87:07|senergy corporation
c4:c1:9f|national oilwell varco instrumentation, monitoring, and optimization (nov imo)
00:08:30|cisco systems, inc
c4:ee:ae|vss monitoring
f8:d3:a9|axan networks
bc:77:9f|sbm co., ltd.
40:6a:ab|rim
9c:a3:ba|sakura internet inc.
8c:8a:6e|estun automation technoloy co., ltd
98:82:17|disruptive ltd
9c:5c:8d|firemax indÚstria e comÉrcio de produtos eletrÔnicos  ltda
d4:20:6d|htc corporation
7c:1e:52|microsoft
dc:b4:c4|microsoft xcg
ac:cb:09|hefcom metering (pty) ltd
18:66:e3|veros systems, inc.
74:fd:a0|compupal (group) corporation 
cc:b8:f1|eagle kingdom technologies limited
a4:29:b7|bluesky
48:f3:17|private
cc:f8:f0|xi'an hisu multimedia technology co.,ltd.
04:88:8c|eifelwerk butler systeme gmbh
d4:5a:b2|galleon systems
30:de:86|cedac software s.r.l.
18:c4:51|tucson embedded systems
70:46:42|chyng hong electronic co., ltd.
d4:1c:1c|rcf s.p.a.
58:92:0d|kinetic avionics limited
ac:02:ef|comsis
b8:b4:2e|gionee communication equipment co,ltd.shenzhen
44:3e:b2|deotron co., ltd.
d0:59:c3|ceramicro technology corporation
18:2c:91|concept development, inc.
fc:17:94|intercreative co., ltd
b4:0b:7a|brusa elektronik ag
28:0c:b8|mikrosay yazilim ve elektronik a.s.
3c:c9:9e|huiyang technology co., ltd
2c:1e:ea|aerodev
1c:8e:8e|db communication & systems co., ltd.
24:ec:99|askey computer corp
a4:4b:15|sun cupid technology (hk) ltd
48:c8:62|simo wireless,inc.
78:be:b6|enhanced vision
44:9c:b5|alcomp, inc
b4:fc:75|sema electronics(hk) co.,ltd
b0:bf:99|wizitdongdo
b8:2a:dc|efr europäische funk-rundsteuerung gmbh
40:f1:4c|ise europe sprl
e8:94:4c|cogent healthcare systems ltd
